Ac	227.028
Ag	107.86822
Al	26.9815395
Am	243
Ar	39.9481
As	74.921592
At	210
Au	196.966543
B	10.8115
Ba	137.3277
Be	9.0121823
Bh	262
Bi	208.980373
Bk	247
Br	79.904
C	12.0111
Ca	40.0789
Cd	112.4118
Ce	140.1154
Cf	251
Cl	35.45279
Cm	247
Co	58.933201
Cr	51.99616
Cs	132.905435
Cu	63.5463
Db	262
Dy	162.503
Er	167.263
Es	252
Eu	151.9659
F	18.99840329
Fe	55.8473
Fm	257
Fr	223
Ga	69.7231
Gd	157.253
Ge	72.612
H	1.007947
He	4.0026022
Hf	178.492
Hg	200.593
Ho	164.930323
Hs	265
I	126.904473
In	114.821
Ir	192.223
K	39.09831
Kr	83.801
La	138.90552
Li	6.9412
Lr	262
Lu	174.9671
Md	258
Mg	24.30506
Mn	54.938051
Mo	95.941
Mt	266
N	14.006747
Na	22.9897686
Nb	92.906382
Nd	144.243
Ne	20.17976
Ni	58.6934
No	259
Np	237.048
O	15.99943
Os	190.21
P	30.9737624
Pa	231.0359
Pb	207.21
Pd	106.421
Pm	145
Po	209
Pr	140.907653
Pt	195.083
Pu	244
Ra	226.025
Rb	85.46783
Re	186.2071
Rf	261
Rh	102.905503
Rn	222
Ru	101.072
S	32.0666
Sb	121.757
Sc	44.9559109
Se	78.963
Sg	263
Si	28.08553
Sm	150.363
Sn	118.7107
Sr	87.621
Ta	180.94791
Tb	158.925343
Tc	98
Te	127.603
Th	232.03811
Ti	47.883
Tl	204.38332
Tm	168.934213
U	238.02891
V	50.94151
W	183.853
Xe	131.292
Y	88.905852
Yb	173.043
Zn	65.392
Zr	91.2242
